District_ID,State_ID,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs
8583,20,2010,0,5,0,0,0,0,10,1,0,6
387,22,2003,0,1,0,0,0,1,21,0,0,5
7652,6,2002,0,0,0,0,0,0,10,10,0,0
6192,35,2005,6,10,1,0,0,1,8,30,0,26
3021,15,2007,1,2,0,0,0,0,1,2,0,0
5412,6,2007,0,0,0,0,0,0,0,53,0,0
6136,35,2005,2,0,0,0,0,1,4,15,0,8
2022,27,2001,1,0,0,0,0,0,0,0,0,0
762,5,2008,0,0,0,0,0,0,0,0,0,0
6535,22,2008,4,13,3,0,0,4,150,0,0,22
7791,5,2009,0,0,0,0,0,0,0,0,0,0
7338,3,2012,4,6,0,0,0,0,7,8,0,50
7379,20,2011,0,2,0,0,0,0,3,2,0,4
2231,21,2006,0,0,0,0,0,0,0,0,0,0
8254,37,2002,0,0,0,0,0,0,0,0,0,0
7030,35,2001,6,9,6,0,4,7,36,268,0,109
662,30,2005,0,0,0,0,0,0,0,1,0,2
1809,22,2001,0,3,0,0,0,0,1,0,0,1
5220,22,2013,1,15,3,0,0,1,0,0,0,46
5771,5,2002,0,0,0,0,0,0,0,0,0,0
1192,11,2007,0,0,0,0,0,0,0,0,0,0
3800,28,2013,0,1,0,0,0,0,4,9,0,0
5187,23,2010,2,1,1,0,1,1,1,5,0,11
4820,17,2005,0,0,0,0,0,0,0,0,0,0
4004,22,2001,1,1,0,0,0,0,6,20,0,0
5311,20,2007,0,4,0,0,0,0,15,2,0,7
5936,9,2007,0,0,0,0,0,0,0,0,0,0
34,35,2004,22,22,6,0,3,5,16,149,0,151
669,26,2001,0,0,0,0,0,0,0,0,0,0
3185,23,2005,0,2,0,0,1,0,1,14,0,2
8430,30,2004,0,0,0,0,0,0,0,4,0,4
7100,22,2013,1,15,0,0,0,1,31,0,0,21
7279,33,2006,1,1,0,0,0,2,7,0,0,16
9675,18,2004,0,0,0,0,0,0,0,1,0,1
8713,23,2007,0,0,0,0,0,0,0,3,0,4
2448,30,2004,0,0,0,0,0,0,0,2,0,1
7298,36,2006,7,6,1,0,0,0,6,48,0,0
6248,22,2008,0,0,0,0,0,0,0,0,0,0
3174,4,2003,0,0,0,0,0,0,0,0,0,0
7890,3,2011,2,7,0,0,0,0,15,54,0,18
5326,37,2001,0,0,0,0,0,0,0,0,0,0
6425,4,2003,0,0,0,0,0,0,0,0,0,0
6424,35,2002,1,4,0,0,0,0,11,24,0,9
6475,31,2004,2,8,5,0,0,4,5,128,0,139
3486,12,2010,0,0,0,0,0,0,0,0,0,0
7447,27,2012,0,0,0,0,0,0,0,0,0,0
8212,6,2012,2,2,0,0,0,1,12,69,0,0
7734,27,2008,0,0,0,0,0,0,0,0,0,0
1978,8,2005,0,1,0,0,0,0,0,0,0,3
6563,6,2010,0,0,0,0,0,0,0,48,0,0
5989,28,2009,0,0,0,0,0,0,5,5,0,12
5111,31,2002,1,7,1,0,0,7,4,215,0,0
8619,20,2012,0,2,0,0,0,0,10,1,0,11
3550,35,2007,2,8,1,0,0,1,1,14,0,63
3602,5,2007,0,0,0,0,0,0,0,0,0,0
5306,37,2003,0,0,0,0,0,0,0,0,0,0
6407,35,2006,6,2,2,0,0,0,6,8,0,11
7167,6,2008,0,0,0,0,0,0,0,25,0,0
3584,23,2001,0,0,0,0,0,0,0,10,1,0
9110,35,2003,2,2,0,0,0,2,0,12,0,5
4825,18,2006,0,0,0,0,0,0,0,2,0,0
4038,22,2010,0,0,0,0,0,0,1,0,0,1
2666,26,2002,0,0,0,0,0,0,0,0,0,0
9600,28,2005,2,1,0,0,0,0,5,5,0,8
9746,15,2004,0,0,0,0,0,0,0,0,0,0
1102,22,2006,0,10,3,0,0,0,14,0,0,106
2018,17,2011,0,0,0,0,0,0,0,0,0,0
4126,23,2003,1,4,0,0,1,0,0,6,1,13
4484,33,2009,0,0,0,0,0,0,0,9,0,0
6033,33,2007,0,0,0,0,0,12,29,81,0,40
7492,5,2002,0,0,0,0,0,0,0,0,0,0
237,1,2012,0,0,0,0,0,0,0,0,0,0
4798,15,2008,1,2,3,0,0,0,7,1,0,11
791,28,2001,0,0,0,0,0,0,4,21,0,21
7990,28,2004,0,1,0,0,0,1,0,36,0,51
654,5,2003,2,1,3,0,0,3,10,0,0,16
9313,4,2008,0,0,0,0,0,0,0,0,0,0
4372,23,2008,0,1,0,0,1,0,0,6,2,2
3223,34,2010,0,0,0,0,0,0,0,0,0,1
4281,33,2004,0,0,0,0,0,0,0,5,0,5
6404,14,2007,0,2,1,0,1,1,7,7,0,25
8802,19,2003,0,0,0,0,0,0,0,38,0,0
6749,22,2002,3,14,0,0,0,7,34,0,1,53
9655,24,2006,0,0,0,0,0,0,0,0,0,0
5273,12,2013,0,0,0,0,0,0,0,4,0,3
8273,19,2008,0,0,0,0,0,0,0,23,0,0
495,31,2009,3,6,0,0,0,4,3,2,0,179
6925,35,2013,0,3,2,0,0,0,0,12,0,4
6460,30,2012,0,0,0,0,0,0,1,0,0,0
8606,34,2012,1,0,0,0,0,1,17,0,0,15
8336,25,2008,0,0,0,0,0,0,0,0,0,0
8830,31,2005,2,5,0,0,0,4,0,103,0,0
3761,31,2001,3,2,0,0,0,0,4,10,0,68
6801,12,2013,0,0,0,0,0,0,0,0,0,0
7092,36,2005,0,0,0,0,0,0,6,0,0,0
5751,19,2006,0,0,0,0,0,0,0,11,0,0
4309,35,2007,7,4,1,0,0,2,3,0,7,58
4882,6,2004,0,0,0,0,0,0,10,5,0,0
5320,3,2011,3,6,3,0,0,1,21,10,6,62
1175,17,2009,0,0,0,0,0,0,0,0,0,0
6461,3,2013,0,1,0,0,0,0,16,10,0,0
3239,22,2003,3,26,2,0,0,0,49,0,0,77
6655,30,2013,0,1,0,0,0,0,5,0,0,0
3794,21,2007,0,0,0,0,0,0,0,0,0,0
4240,33,2008,0,0,0,0,0,1,0,69,0,6
8389,33,2008,1,2,0,0,0,0,5,112,1,1
9033,5,2011,0,0,0,0,0,0,0,0,0,0
3633,3,2008,4,7,0,0,0,1,27,74,0,152
8093,28,2007,0,0,0,0,0,0,2,2,0,0
7126,31,2006,0,1,2,0,0,1,58,3,0,73
7775,16,2004,0,1,0,0,0,0,0,1,0,2
5126,33,2011,0,0,0,0,0,0,0,36,0,0
8928,35,2002,1,2,3,0,0,0,0,0,0,39
4528,22,2013,0,7,0,0,1,1,26,0,0,22
6323,22,2008,0,6,0,0,0,1,0,0,0,3
4212,8,2007,0,2,0,0,0,0,4,0,0,18
4189,32,2005,0,0,0,0,0,0,1,0,0,1
3232,1,2001,0,0,0,0,0,0,0,0,0,0
9689,23,2010,24,89,25,22,20,12,77,319,25,519
3560,23,2010,0,0,0,0,0,0,0,0,0,0
4021,29,2009,0,0,0,0,0,0,0,2,24,0
7342,28,2012,11,79,11,1,1,31,188,1943,0,0
6167,3,2011,2,2,2,0,0,0,71,14,0,34
949,19,2005,0,0,0,0,0,0,0,31,0,0
3904,33,2013,0,0,0,0,0,0,0,8,0,0
2175,36,2010,0,0,0,0,0,0,0,4,0,0
4222,23,2012,0,4,3,0,2,1,1,2,0,27
8153,22,2012,1,4,1,0,0,0,0,0,0,23
6507,16,2001,0,1,0,0,0,0,0,0,0,0
5690,29,2005,0,0,0,0,0,0,0,2,12,0
1130,23,2007,0,0,0,0,0,0,0,2,0,5
1430,22,2011,0,15,2,0,0,0,4,0,0,114
1577,5,2007,0,0,0,0,0,0,0,0,0,0
9292,32,2005,0,0,0,0,0,0,0,0,0,0
2167,6,2004,0,0,0,0,0,0,0,71,0,0
5916,35,2002,5,4,3,0,0,2,2,101,0,0
7610,31,2012,0,5,1,0,0,1,0,2,0,102
2170,23,2005,0,2,0,0,0,0,0,11,0,12
9309,8,2013,0,2,1,0,0,0,0,0,0,2
3247,33,2005,0,1,0,0,0,0,7,0,0,22
5281,31,2005,3,2,0,0,1,0,19,7,0,34
4490,22,2004,1,12,0,0,0,0,8,1,0,60
4011,28,2008,0,2,3,0,0,0,10,22,0,22
2271,28,2009,1,0,0,0,0,0,0,7,0,2
8923,23,2011,0,2,0,0,1,0,1,2,0,3
6286,3,2011,4,6,0,0,0,0,37,131,0,84
3954,15,2003,1,5,0,0,0,0,0,12,0,6
4072,23,2008,0,0,0,0,0,0,0,2,0,2
4933,12,2004,0,0,0,0,0,0,0,1,0,0
7529,35,2006,12,6,1,0,1,1,10,4,0,61
1670,23,2011,0,1,0,0,0,0,0,0,0,4
3364,15,2012,0,2,0,0,1,0,0,0,0,4
8031,14,2012,0,0,0,0,0,0,0,0,0,1
3490,15,2003,0,3,1,0,0,0,5,1,0,12
5049,22,2004,8,9,0,0,0,1,70,0,0,32
5397,14,2009,1,1,4,0,0,0,12,0,0,44
937,35,2002,7,2,2,0,3,3,9,114,0,88
8440,6,2008,0,0,0,0,0,0,0,10,0,0
9205,33,2007,0,1,0,0,0,0,14,116,3,62
5655,17,2013,0,0,0,0,0,0,0,0,0,0
998,8,2009,0,0,0,0,0,0,0,0,0,0
5173,33,2007,1,1,0,0,0,0,8,27,0,19
4496,6,2008,0,0,0,0,0,0,0,24,0,0
2683,33,2013,2,1,0,0,4,1,6,38,0,25
258,6,2003,0,0,0,0,1,4,13,44,0,0
6262,35,2012,2,4,5,0,0,0,10,0,0,18
6028,26,2002,0,0,0,0,0,0,0,0,0,0
7467,15,2006,1,3,0,0,0,0,0,0,0,5
7357,22,2003,2,6,1,0,1,0,41,77,0,26
2937,33,2006,3,1,0,0,0,0,11,28,0,50
2634,8,2007,0,0,0,0,0,0,0,5,0,5
1792,19,2007,15,20,4,1,0,1,165,1016,17,605
4931,23,2001,0,1,0,0,0,0,1,0,3,17
1714,6,2001,28,35,8,2,1,17,378,513,81,240
3027,17,2001,0,0,0,0,0,0,0,0,0,0
4755,17,2008,0,0,0,0,0,0,0,0,0,0
8888,22,2004,4,20,2,0,0,2,9,0,0,121
3538,31,2008,0,0,0,0,0,0,0,1,0,7
7252,28,2003,8,29,8,0,4,12,234,435,0,427
9210,23,2002,0,1,0,0,0,0,1,2,0,0
2752,6,2009,1,3,0,0,0,0,31,38,0,1
5841,19,2011,0,0,0,0,0,0,0,13,0,13
8600,16,2003,1,1,0,0,0,0,1,1,0,2
6341,6,2012,0,0,0,0,0,0,0,118,0,0
5995,14,2011,0,4,2,1,0,1,8,2,0,25
192,18,2012,0,1,0,0,0,0,5,5,0,2
5663,5,2003,0,0,0,0,0,0,0,0,0,0
